startNode,endNode
2315,1875
2315,2210
2275,2030
1875,2030
2030,2210
1150,1140
1135,1140
1140,1145
2315,2030
2275,1875
2275,2210
1875,2210
1150,1135
1150,1145
1135,1145
2955,280
1205,1185
1120,1245
1285,1325
1315,1265
1185,1165
1260,1165
1305,1210
1295,1190
1285,1180
1195,1155
1160,1280
1145,1170
1235,1300
1310,1280
1220,1275
1110,1250
1255,1125
1270,1240
1290,1195
1240,1220
1330,1325
1115,1220
1200,1180
1265,1250
1280,1285
1105,1165
1325,1180
1245,1225
1325,1160
1330,1185
1250,1230
1285,1160
1230,1210
1210,1190
1215,1235
1190,1170
1195,1215
1195,1175
1180,1280
1320,1160
1135,1275
1175,1150
1270,1130
1275,1200
1255,1240
1220,1200
1180,1160
1140,1225
1225,1205
1260,2995
2965,1590
1670,2810
1380,2775
1545,2785
1590,1385
1385,1390
1390,1405
1405,1355
1355,1410
1410,1415
1415,1430
1435,1440
1440,1445
1445,1375
1375,1610
1450,2950
1385,1630
1630,2860
1400,1550
1400,1570
1570,1625
1625,2975
1400,1530
1530,1620
1620,1575
1575,1535
1410,1565
1565,1420
1420,1600
1415,1455
1430,1460
1440,1605
1435,1495
1410,1470
1470,1360
1490,1495
1525,1615
1485,1585
1495,1540
1540,1555
1545,1500
1500,1505
1510,1515
1505,1450
1390,1595
1595,1340
1440,2795
1605,2795
1395,1640
1560,1640
1345,1640
1335,1640
1395,2860
1645,1395
1645,1400
1530,1635
1475,1360
1475,1480
1480,1485
1490,1485
1650,1340
1655,1340
1660,1655
1425,1660
1435,1430
1445,1545
1380,1450
1405,2835
1350,2835
1475,1665
1665,2810
1480,1670
1670,1675
1675,1520
1580,1520
1525,1580
1505,1510
1610,2775
1605,1370
1370,1465
1540,1680
1680,1515
1680,2785
1680,1545
1610,1380
1405,1350
1525,1635
1630,1395
1365,1635
1665,1670
1620,870
1615,835
1690,2800
1695,1725
1700,1705
1705,125
1710,1725
1715,170
1720,2820
1725,205
1730,175
1735,1695
1735,160
1740,1730
1740,2845
1745,195
1750,1740
1755,2900
1760,1770
1760,2895
1765,1775
1770,1780
1775,1785
1780,1790
1785,1710
1785,2850
1790,3000
1790,2870
1795,100
1795,200
3000,105
100,190
105,1750
110,2825
115,120
120,1700
125,2875
130,1685
130,110
135,180
140,1720
145,1755
145,170
150,2845
155,1765
160,155
165,1735
175,140
180,1765
185,210
190,130
195,165
200,115
205,1690
210,150
2800,1745
2850,1795
2875,1715
2900,135
2895,185
2920,1760
