nodeID,xcoord,ycoord,floor,building
100,2265,904,L1,45 Francis
105,2130,849,L2,Tower
110,2360,849,L1,45 Francis
115,2130,904,L1,45 Francis
120,2130,844,L1,45 Francis
125,1845,924,L1,Tower
130,2300,849,L1,45 Francis
135,1965,1284,L1,Tower
140,2300,854,L2,45 Francis
145,1750,1090,L1,Tower
150,2215,1280,L2,45 Francis
155,2290,1284,L1,45 Francis
160,2320,1284,L1,45 Francis
165,2770,1284,L1,45 Francis
170,1732,1019,L1,Tower
175,2300,884,L2,45 Francis
180,2065,1284,L1,Tower
185,1930,1280,L2,45 Francis
190,2300,879,L1,45 Francis
195,2770,1160,L1,45 Francis
200,2185,904,L1,45 Francis
205,2490,1043,L1,45 Francis
210,2015,1280,L2,45 Francis
215,4550,375,2,15 Francis
220,4155,650,2,15 Francis
225,3955,885,2,15 Francis
230,3475,760,2,15 Francis
235,4125,625,2,15 Francis
240,3895,695,2,15 Francis
245,3635,830,2,15 Francis
250,3525,850,2,15 Francis
255,4210,630,2,15 Francis
260,3490,825,2,15 Francis
265,4330,700,2,15 Francis
270,4240,730,2,15 Francis
275,3900,640,2,15 Francis
280,3425,870,2,15 Francis
285,3830,775,2,15 Francis
290,4595,550,2,15 Francis
295,4270,480,2,15 Francis
300,4295,750,2,15 Francis
305,4650,675,2,15 Francis
310,4330,580,2,15 Francis
315,4250,440,2,15 Francis
320,4175,620,2,15 Francis
325,4065,630,2,15 Francis
330,3950,865,2,15 Francis
335,3855,565,2,15 Francis
340,3535,645,2,15 Francis
345,4770,1140,2,15 Francis
350,4750,1080,2,15 Francis
355,4725,995,2,15 Francis
360,4785,975,2,15 Francis
365,4705,925,2,15 Francis
370,4690,870,2,15 Francis
375,4675,820,2,15 Francis
380,4660,770,2,15 Francis
385,4635,680,2,15 Francis
390,4625,650,2,15 Francis
395,4605,655,2,15 Francis
400,4570,555,2,15 Francis
405,4545,460,2,15 Francis
410,4570,455,2,15 Francis
415,4480,580,2,15 Francis
420,4390,605,2,15 Francis
425,4385,585,2,15 Francis
430,4340,625,2,15 Francis
435,4310,585,2,15 Francis
440,4295,530,2,15 Francis
445,4280,475,2,15 Francis
450,4270,440,2,15 Francis
455,4280,435,2,15 Francis
460,4295,475,2,15 Francis
465,4285,715,2,15 Francis
470,4270,650,2,15 Francis
475,4220,660,2,15 Francis
480,4185,665,2,15 Francis
